battery_capacity_kWh,avg_speed_kmph,distance_km,temperature_c,humidity_percent,charging_time_hrs,vehicle_weight_kg,driving_mode,terrain_type,ev_energy_demand
34,79,259,-9,75,2.14,1594,sport,highway,0
31,59,299,20,38,4.39,1026,sport,highway,0
40,88,34,38,23,3.9,1568,normal,highway,0
73,96,42,-5,79,4.2,1924,sport,urban,0
67,25,202,35,70,0.78,2088,sport,rural,1
26,38,128,29,55,4.18,2260,normal,rural,1
39,81,215,12,51,2.12,1548,eco,urban,0
66,42,126,32,66,4.31,1671,eco,urban,1
35,74,29,29,88,1.23,1335,normal,highway,1
21,36,65,5,87,3.14,1060,normal,urban,1
53,20,127,2,25,1.29,1205,eco,highway,0
66,92,259,-7,76,3.32,1321,sport,highway,0
33,72,35,31,45,2.04,1830,normal,highway,1
25,44,111,2,79,4.76,1203,sport,highway,0
38,91,197,10,66,4.3,1294,normal,urban,0
79,97,190,1,85,4.13,2449,normal,rural,1
31,57,53,41,58,3.16,2147,sport,rural,1
56,85,129,0,39,1.42,1670,eco,urban,1
35,57,101,40,77,1.13,1114,eco,rural,1
63,45,236,-9,63,1.0,2442,normal,urban,1
33,72,35,31,45,2.04,1830,normal,highway,1
83,41,36,2,39,4.84,1828,normal,highway,0
51,57,223,18,70,4.88,1652,normal,highway,0
88,53,290,41,46,2.72,1313,sport,rural,0
81,33,18,25,67,1.83,2064,normal,rural,0
31,91,225,-3,65,1.08,1219,sport,highway,0
99,72,258,5,57,3.68,1720,sport,urban,1
99,84,110,-10,28,4.22,1018,sport,rural,0
56,49,36,14,25,4.89,1661,sport,highway,0
37,88,277,4,39,1.67,1403,sport,rural,0
81,20,33,41,83,1.61,1631,eco,rural,1
43,35,73,-6,32,4.52,2258,sport,rural,1
63,45,236,-9,63,1.0,2442,normal,urban,1
27,80,296,12,36,1.49,1634,sport,urban,0
36,83,69,23,45,3.55,2029,sport,rural,0
20,44,49,34,43,0.82,1962,normal,urban,1
82,85,234,-7,40,3.36,1246,normal,highway,1
67,58,175,-1,34,1.53,1645,normal,urban,0
65,56,59,-7,63,0.58,1629,sport,urban,0
47,29,74,43,35,4.8,2466,eco,highway,0
57,25,190,9,24,1.1,1503,eco,urban,0
82,58,23,-1,53,2.64,2018,eco,rural,1
88,48,220,25,87,4.92,1170,eco,urban,1
23,70,268,-7,73,1.83,2030,eco,rural,1
20,79,131,10,49,4.78,2348,sport,highway,1
77,93,86,6,65,1.67,1146,sport,rural,1
79,52,284,43,32,3.21,1049,sport,urban,1
21,65,70,2,24,2.25,1901,sport,urban,0
51,75,260,5,77,1.95,2134,eco,rural,1
76,65,44,44,67,4.9,2403,sport,highway,0
47,27,215,21,32,4.44,1570,normal,urban,0
43,70,175,21,60,3.41,2262,eco,highway,1
99,72,258,5,57,3.68,1720,sport,urban,1
52,66,48,31,83,2.56,1845,sport,rural,1
46,45,276,24,69,1.85,1643,sport,highway,1
76,54,48,39,31,4.88,1990,normal,rural,1
28,75,179,33,34,2.31,1376,normal,highway,1
31,57,293,1,68,3.22,2389,sport,rural,0
46,79,266,-10,32,2.21,1566,eco,rural,0
48,40,102,42,49,3.91,2167,sport,urban,0
46,23,68,22,89,2.11,1867,eco,urban,1
49,48,138,-1,35,0.68,1139,sport,urban,0
52,39,201,27,43,2.75,1822,normal,rural,1
36,82,139,3,89,2.28,1139,eco,urban,0
27,97,95,26,79,2.5,1016,eco,highway,0
43,73,165,33,62,3.53,2114,eco,urban,0
67,84,180,24,68,4.41,1165,sport,rural,1
36,83,69,23,45,3.55,2029,sport,rural,0
31,81,252,2,59,1.39,2292,sport,highway,1
61,79,35,42,34,4.13,1715,eco,highway,0
88,78,251,20,30,0.67,1894,eco,rural,0
27,59,166,-9,51,3.82,1068,normal,highway,0
82,57,125,26,33,2.05,1117,eco,urban,1
34,86,72,-2,54,1.45,1024,eco,highway,0
31,36,167,0,69,2.48,1257,normal,highway,1
52,24,245,7,89,4.22,1559,sport,urban,0
36,24,99,29,58,3.13,1857,sport,urban,0
61,89,20,-9,52,2.68,2041,normal,urban,0
56,85,129,0,39,1.42,1670,eco,urban,1
48,57,260,17,74,4.39,2131,normal,highway,1
23,24,152,-1,29,1.38,2052,eco,urban,0
66,45,21,36,31,2.25,1558,sport,urban,0
57,25,190,9,24,1.1,1503,eco,urban,0
77,85,238,25,40,4.55,1117,eco,highway,0
78,89,244,22,58,0.71,1493,eco,rural,0
47,46,12,11,73,0.8,1053,normal,rural,0
82,69,227,30,89,3.55,1300,normal,highway,1
62,24,270,-9,79,4.25,2187,eco,highway,0
72,98,25,11,83,4.75,1229,normal,highway,0
78,22,294,-6,60,2.78,1313,sport,urban,1
62,70,104,23,30,0.8,1484,eco,highway,0
23,53,112,8,23,2.28,1424,normal,rural,0
21,65,70,2,24,2.25,1901,sport,urban,0
33,31,140,38,38,2.9,1585,eco,urban,1
75,53,152,36,64,3.66,1837,sport,rural,1
71,93,237,10,87,1.53,2436,sport,urban,0
88,94,205,11,58,4.85,2228,sport,rural,0
97,84,21,37,83,2.93,1582,normal,rural,0
21,83,123,5,31,3.42,1298,eco,rural,1
85,88,298,21,82,3.16,2230,normal,highway,1
82,25,136,4,38,0.72,1924,eco,rural,1
28,42,56,-3,56,1.72,1713,sport,highway,0
84,69,150,0,66,1.79,1366,eco,urban,0
95,73,229,7,40,3.5,1504,normal,urban,1
81,82,89,2,33,2.23,1451,normal,rural,1
39,32,294,16,27,3.43,1963,normal,highway,0
98,33,133,36,76,2.32,1756,eco,highway,1
26,83,97,8,58,4.96,1234,eco,rural,0
54,49,194,-4,66,4.91,1480,eco,rural,1
59,48,93,4,41,4.04,1824,eco,highway,1
22,45,280,4,84,4.1,1330,normal,highway,0
58,87,135,3,27,0.51,2493,sport,rural,0
54,33,138,14,49,1.51,2468,normal,highway,0
91,20,213,24,74,1.44,1933,normal,rural,0
31,91,225,-3,65,1.08,1219,sport,highway,0
76,34,50,-2,89,2.95,1415,eco,rural,0
71,77,298,7,80,3.23,2014,normal,urban,1
42,82,81,-9,77,0.61,2395,sport,rural,0
91,24,48,23,41,4.06,1153,eco,highway,0
81,68,71,43,33,0.85,1656,normal,rural,0
51,50,12,29,47,4.04,1574,eco,highway,0
24,27,61,29,83,1.1,1890,normal,rural,0
22,27,38,19,89,4.08,1914,eco,rural,0
66,31,126,12,82,0.61,1892,sport,rural,0
71,77,298,7,80,3.23,2014,normal,urban,1
36,57,12,27,82,1.44,2340,sport,rural,0
94,59,178,-10,89,1.72,2466,normal,rural,1
40,69,67,35,53,2.02,2412,sport,rural,1
98,33,133,36,76,2.32,1756,eco,highway,1
44,26,111,20,85,0.76,1288,normal,rural,1
76,81,280,14,58,3.67,2240,sport,rural,1
21,83,123,5,31,3.42,1298,eco,rural,1
21,65,70,2,24,2.25,1901,sport,urban,0
55,41,115,32,57,3.31,1457,normal,highway,0
32,91,223,-2,47,4.74,1720,normal,highway,1
62,90,11,23,70,3.89,1184,eco,highway,0
88,45,200,11,41,0.74,1869,eco,rural,0
57,56,233,10,49,3.03,1339,normal,urban,0
92,49,10,6,68,2.09,2437,normal,rural,0
58,33,82,41,21,2.79,1194,eco,rural,0
42,38,271,2,65,0.56,1816,normal,highway,1
81,69,107,36,79,3.75,1207,normal,urban,0
69,20,241,20,58,3.89,1299,eco,urban,0
81,65,96,28,72,4.34,2305,eco,highway,0
99,57,246,-9,66,2.66,1056,sport,rural,0
54,82,173,-10,44,2.78,1220,eco,urban,0
87,46,213,3,33,3.56,1140,eco,rural,0
99,90,163,21,67,0.55,1607,normal,urban,1
90,43,86,39,26,1.72,1648,sport,highway,0
