Vehicle_ID,Battery_Type,Vehicle_Type,Ambient_Temperature,Distance_Driven_km,State_of_Charge_%,Battery_Capacity_kWh,Current_Speed_kmph,Energy_Consumed_kWh,Predicted_Value
EV1502,LiFePO4,Hatchback,8.6,300.7,9.0,63.3,67.4,60.14,in demand
EV2587,NiMH,Hatchback,38.1,234.7,5.6,75.9,46.9,46.94,in demand
EV2654,Li-ion,Truck,30.6,255.0,63.8,79.2,108.2,51.0,in demand
EV1056,Li-ion,Hatchback,0.6,463.6,95.8,68.2,112.6,92.72,in demand
EV0706,NiMH,Hatchback,36.4,478.1,6.8,25.2,9.6,95.62,in demand
EV0107,Li-ion,Sedan,6.9,448.8,78.4,29.9,16.6,89.76,in demand
EV0590,NiMH,Sedan,28.2,147.4,88.7,33.3,45.2,29.48,not in demand
EV2469,LiFePO4,SUV,38.5,268.5,39.7,22.8,85.8,53.7,in demand
EV2414,LiFePO4,Truck,26.2,466.7,55.4,22.8,9.6,93.34,in demand
EV1601,NiMH,Sedan,21.6,277.3,98.7,41.9,20.4,55.46,in demand
EV2465,LiFePO4,Hatchback,5.7,170.5,14.2,65.3,22.3,34.1,not in demand
EV0229,LiFePO4,Sedan,13.2,315.5,77.2,59.9,95.7,63.1,in demand
EV0916,Li-ion,Hatchback,9.6,58.2,90.4,38.5,37.4,11.64,not in demand
EV0795,NiMH,Hatchback,12.7,335.4,95.8,86.3,21.2,67.08,in demand
EV3022,NiMH,Truck,27.9,465.2,10.6,59.6,1.6,93.04,in demand
EV0465,LiFePO4,Truck,34.4,179.2,22.3,22.5,66.8,35.84,not in demand
EV1074,Li-ion,Sedan,14.4,480.5,61.2,89.9,15.6,96.1,in demand
EV3352,NiMH,Hatchback,31.4,483.0,83.6,27.8,107.6,96.6,in demand
EV1745,Li-ion,Hatchback,39.0,361.0,21.3,44.2,5.8,72.2,in demand
EV1085,NiMH,Truck,6.6,249.9,42.5,99.2,55.1,49.98,in demand
EV0927,NiMH,Hatchback,36.0,131.8,91.0,85.2,57.5,26.36,not in demand
EV3050,Li-ion,Sedan,26.1,209.8,73.2,66.0,22.2,41.96,in demand
EV1118,LiFePO4,SUV,36.8,107.3,77.6,56.9,66.1,21.46,not in demand
EV0643,NiMH,Hatchback,2.8,55.5,90.4,99.9,87.1,11.1,not in demand
EV1951,NiMH,Sedan,5.9,145.1,97.6,39.4,119.9,29.02,not in demand
EV0502,NiMH,SUV,10.2,280.5,48.0,72.4,88.3,56.1,in demand
EV1895,Li-ion,Hatchback,28.6,41.2,35.6,79.0,87.4,8.24,not in demand
EV0334,LiFePO4,Sedan,-3.7,157.1,8.0,65.7,108.5,31.42,not in demand
EV0817,LiFePO4,Hatchback,29.3,33.2,22.8,34.2,97.9,6.64,not in demand
EV0487,NiMH,Hatchback,24.1,266.4,57.2,92.1,75.7,53.28,in demand
EV1963,LiFePO4,Sedan,22.1,466.3,14.0,93.4,96.4,93.26,in demand
EV0394,Li-ion,Hatchback,-6.2,241.4,88.9,87.3,3.3,48.28,in demand
EV2737,LiFePO4,Sedan,-3.2,150.3,18.7,58.6,34.5,30.06,not in demand
