station_id,destination_id,hour,temperature,humidity,weekday,is_holiday,passenger_volume_last_hour,weather_condition,day_type,passenger_flow
101,203,20:00,31.5,64,Thursday,Yes,647,Clear,Weekend,Medium
105,204,08:00,21.5,46,Wednesday,Yes,213,Rainy,Weekend,Medium
103,201,12:00,21.6,43,Thursday,No,183,Cloudy,WorkingDay,High
105,204,16:00,32.6,60,Wednesday,Yes,965,Rainy,WorkingDay,Medium
105,204,16:00,24.6,61,Monday,Yes,938,Foggy,WorkingDay,Low
105,201,18:00,39.8,63,Sunday,No,687,Cloudy,WorkingDay,High
105,203,12:00,22.3,59,Saturday,Yes,731,Cloudy,WorkingDay,Medium
102,205,14:00,38.5,43,Tuesday,No,573,Foggy,WorkingDay,Medium
104,205,08:00,23.3,78,Wednesday,No,625,Cloudy,WorkingDay,Low
103,205,14:00,21.1,53,Sunday,Yes,591,Cloudy,WorkingDay,Medium
101,204,08:00,37.2,69,Thursday,No,660,Foggy,Weekend,High
104,201,06:00,36.9,47,Friday,Yes,542,Foggy,WorkingDay,Medium
103,205,10:00,33.9,70,Saturday,No,976,Clear,WorkingDay,Medium
102,201,16:00,20.5,42,Sunday,No,790,Rainy,WorkingDay,High
103,204,08:00,22.7,79,Tuesday,Yes,735,Clear,Weekend,Medium
101,205,18:00,35,89,Thursday,Yes,373,Cloudy,WorkingDay,Medium
105,204,10:00,33.8,85,Saturday,Yes,449,Clear,WorkingDay,Medium
104,201,08:00,38.2,87,Sunday,Yes,998,Cloudy,Weekend,High
105,203,16:00,39.9,32,Saturday,Yes,259,Rainy,WorkingDay,Low
105,204,10:00,33.8,85,Saturday,Yes,449,Clear,WorkingDay,Medium
101,203,16:00,34.9,33,Friday,Yes,697,Cloudy,WorkingDay,Medium
102,205,10:00,39.3,64,Sunday,Yes,799,Foggy,Weekend,Medium
103,205,06:00,25.2,89,Friday,Yes,243,Clear,WorkingDay,Low
105,201,16:00,24,53,Monday,Yes,162,Cloudy,WorkingDay,High
104,201,12:00,33.9,82,Saturday,Yes,740,Clear,Weekend,High
104,205,16:00,26.5,61,Sunday,No,571,Cloudy,Weekend,High
101,201,14:00,20.4,75,Saturday,No,684,Clear,WorkingDay,Low
103,202,20:00,38,67,Monday,No,964,Cloudy,Weekend,Low
101,205,10:00,25.8,88,Friday,Yes,610,Rainy,Weekend,Medium
104,202,12:00,26.4,68,Thursday,Yes,185,Foggy,Weekend,Medium
103,202,20:00,25.2,53,Saturday,No,168,Rainy,WorkingDay,Low
104,201,14:00,25,48,Tuesday,Yes,138,Rainy,WorkingDay,Medium
103,201,08:00,25.8,51,Friday,No,895,Foggy,Weekend,Medium
105,203,10:00,29.3,87,Sunday,Yes,415,Rainy,Weekend,Low
102,205,12:00,35.2,43,Thursday,No,315,Foggy,WorkingDay,Low
105,202,14:00,28.1,62,Monday,Yes,727,Foggy,WorkingDay,Low
105,204,12:00,27.7,61,Saturday,No,838,Foggy,WorkingDay,High
104,205,12:00,25,74,Friday,Yes,920,Cloudy,Weekend,Low
103,202,06:00,38,49,Wednesday,No,353,Clear,WorkingDay,Medium
104,203,20:00,36,30,Wednesday,Yes,875,Cloudy,Weekend,Low
104,205,16:00,26.4,62,Thursday,No,484,Cloudy,WorkingDay,Low
102,202,18:00,34.7,69,Friday,No,396,Rainy,WorkingDay,High
105,202,10:00,32.1,77,Saturday,No,657,Clear,WorkingDay,High
102,203,12:00,21.5,68,Wednesday,No,140,Rainy,Weekend,Medium
105,205,12:00,32.2,47,Tuesday,Yes,897,Rainy,WorkingDay,High
103,201,18:00,32.5,33,Monday,No,873,Clear,Weekend,Medium
103,201,12:00,21.6,43,Thursday,No,183,Cloudy,WorkingDay,High
103,205,18:00,37.5,46,Saturday,Yes,203,Foggy,Weekend,Medium
105,201,08:00,36.8,75,Monday,No,752,Rainy,WorkingDay,Low
104,202,18:00,36.5,39,Sunday,Yes,971,Cloudy,Weekend,Medium
105,202,06:00,36.6,33,Thursday,No,599,Cloudy,Weekend,Medium
103,205,10:00,37.9,40,Tuesday,No,739,Cloudy,WorkingDay,Low
105,201,08:00,34.3,56,Saturday,No,168,Foggy,WorkingDay,Low
105,203,10:00,20.6,38,Saturday,No,823,Clear,WorkingDay,Low
102,201,08:00,31.4,89,Saturday,No,801,Foggy,Weekend,Medium
104,201,08:00,32.3,54,Thursday,No,810,Clear,WorkingDay,High
105,202,16:00,37.3,46,Friday,No,808,Clear,Weekend,Low
