timestamp,intersection_id,lane_id,direction,vehicle_count,average_speed_kmph,signal_phase,green_duration_sec,lane_occupancy_ratio,congestion_level
2025-06-04 05:00:00,D4,L2,N,23,40.007982686524414,Red,39,0.49,Medium
2025-06-04 05:00:00,B2,L1,N,19,38.90192532827673,Green,29,0.84,Low
2025-06-04 05:08:00,D4,L2,W,30,38.73352484730663,Red,50,0.86,Low
2025-06-04 05:08:00,D4,L1,N,20,14.100261724574828,Green,70,0.14,Medium
2025-06-04 05:10:00,C3,L1,N,27,54.04737809261518,Red,28,0.51,Low
2025-06-04 05:10:00,C3,L3,N,20,54.37208139220019,Green,13,0.85,Low
2025-06-04 05:14:00,C3,L3,W,25,27.2710354611974,Red,84,0.56,Low
2025-06-04 05:16:00,A1,L2,S,22,43.199236000022836,Yellow,42,0.52,Medium
2025-06-04 05:18:00,B2,L3,S,12,51.56221098491045,Yellow,44,0.69,Low
2025-06-04 05:22:00,A1,L2,W,13,37.295801229425734,Red,45,0.63,High
2025-06-04 05:28:00,A1,L1,N,20,47.70107779047455,Green,87,0.11,Medium
2025-06-04 05:30:00,C3,L3,N,19,52.32369837739899,Red,33,0.84,Low
2025-06-04 05:30:00,C3,L2,N,12,27.475901221166172,Red,49,0.28,Low
2025-06-04 05:30:00,D4,L1,W,18,45.67862226024034,Red,13,0.51,Medium
2025-06-04 05:32:00,C3,L1,N,12,49.44234580485614,Red,57,0.69,High
2025-06-04 05:32:00,C3,L3,W,21,52.85991175458774,Green,49,0.22,Low
2025-06-04 05:34:00,C3,L1,E,23,32.28262066492007,Green,72,0.59,Medium
2025-06-04 05:40:00,C3,L1,N,18,36.32756720591617,Red,64,0.31,Low
2025-06-04 05:40:00,B2,L2,N,15,17.223846932894006,Red,52,0.67,Low
2025-06-04 05:40:00,C3,L1,E,14,45.94125424074842,Green,75,1.0,Low
2025-06-04 05:44:00,D4,L2,N,14,51.563689113291886,Red,55,0.64,Medium
2025-06-04 05:44:00,B2,L2,E,22,46.81784234549846,Red,65,0.83,Low
2025-06-04 05:44:00,C3,L3,W,22,57.92996420737788,Green,63,0.54,High
2025-06-04 05:46:00,A1,L1,E,21,40.61376897722421,Red,67,0.67,Low
2025-06-04 05:52:00,B2,L2,E,20,34.35027535629085,Green,40,0.66,Low
2025-06-04 05:54:00,C3,L3,S,21,46.13111952279705,Yellow,76,0.58,High
